meanfreq,sd,median,Q25,Q75,IQR,label
0.059780985,0.064241268,0.032026913,0.015071489,0.09019344,0.075121951,male
0.06600874,0.067310029,0.040228735,0.019413867,0.09266619,0.073252323,male
0.077315503,0.083829421,0.036718459,0.008701057,0.131908017,0.123206961,male
0.151228092,0.072110587,0.158011187,0.096581728,0.207955252,0.111373524,male
0.135120387,0.0791461,0.124656229,0.078720218,0.206044929,0.127324711,male
0.132786407,0.079556866,0.119089848,0.067957993,0.209591599,0.141633606,male
0.15076233,0.074463205,0.160106383,0.092898936,0.205718085,0.112819149,male
0.160514332,0.076766885,0.144336775,0.110532168,0.231961875,0.121429706,male
0.142239417,0.078018462,0.138587444,0.088206278,0.208587444,0.120381166,male
0.134328777,0.080350028,0.121451347,0.075579989,0.201957119,0.12637713,male
0.157020511,0.071942931,0.168160153,0.101429933,0.216739752,0.115309819,male
0.138550521,0.077053993,0.127526596,0.08731383,0.202739362,0.115425532,male
0.137342742,0.080876707,0.124262508,0.083144899,0.209226771,0.126081871,male
0.181225459,0.060042055,0.190953206,0.128838821,0.229532062,0.100693241,male
0.183115281,0.06698235,0.191232529,0.129148666,0.240152478,0.111003812,male
0.174272105,0.069411045,0.190874107,0.115601979,0.228279274,0.112677295,male
0.190846298,0.065790282,0.207950987,0.132280463,0.244356705,0.112076242,male
0.171246971,0.07487157,0.152806653,0.122390852,0.243617464,0.121226611,male
0.168345946,0.074120817,0.145618472,0.11575591,0.239824079,0.124068169,male
0.173631376,0.073351512,0.153568557,0.123680214,0.244234033,0.120553819,male
0.172754287,0.076902583,0.177736289,0.120070012,0.245367561,0.12529755,male
0.181015394,0.074369304,0.169298813,0.128673139,0.254174757,0.125501618,male
0.163535853,0.072448898,0.145542522,0.113929619,0.22744868,0.113519062,male
0.170212798,0.075104946,0.146052999,0.123988842,0.250125523,0.126136681,male
0.160422477,0.076614764,0.144823806,0.120924041,0.23724354,0.116319499,male
0.164699838,0.075361772,0.14701847,0.118698329,0.240474934,0.121776605,male
0.169578801,0.075634514,0.186467577,0.116706485,0.238549488,0.121843003,male
0.169021004,0.071778152,0.143168483,0.125800503,0.248315172,0.122514669,male
0.167340239,0.07284123,0.14173913,0.122173913,0.24,0.117826087,male
0.180527821,0.070866998,0.142385321,0.129541284,0.252477064,0.12293578,male
0.153039048,0.07403113,0.158064516,0.092731183,0.214365591,0.121634409,male
0.166659499,0.075961168,0.142781457,0.122075055,0.245077263,0.123002208,male
0.175659429,0.071651533,0.144191617,0.131057884,0.256526946,0.125469062,male
0.174825733,0.071532831,0.146470588,0.123529412,0.247058824,0.123529412,male
0.174064614,0.073121844,0.140183486,0.127706422,0.252844037,0.125137615,male
0.159530491,0.075273104,0.146853147,0.121398601,0.239370629,0.117972028,male
0.167648361,0.067219927,0.157239513,0.136021651,0.209526387,0.073504736,male
0.172436386,0.071504543,0.145620438,0.132846715,0.252408759,0.119562044,male
0.162981116,0.065952332,0.142770664,0.134295693,0.206984866,0.072689173,male
0.170209848,0.072023008,0.146003899,0.128810916,0.24588694,0.117076023,male
0.171400807,0.068428139,0.145321955,0.131202483,0.246113266,0.114910784,male
0.146886154,0.068160816,0.12146675,0.097103791,0.213349907,0.116246116,male
0.166763785,0.064488516,0.160123648,0.116846986,0.229582689,0.112735703,male
0.153691861,0.066495859,0.145158831,0.099085133,0.211512071,0.112426938,male
0.168011339,0.068873401,0.167917889,0.115982405,0.228064516,0.112082111,male
0.148281383,0.068117184,0.129892781,0.094867763,0.200343102,0.10547534,male
0.158595955,0.066216652,0.133302217,0.111085181,0.22445741,0.113372229,male
0.163643182,0.070030717,0.14412111,0.110681245,0.227485282,0.116804037,male
0.158656925,0.067564057,0.161061947,0.104452008,0.219196732,0.114744724,male
0.13789282,0.072420663,0.119852399,0.086531365,0.200701107,0.114169742,male
0.142715585,0.074163591,0.127850099,0.088915187,0.206272189,0.117357002,male
0.135052914,0.072095147,0.112927013,0.087644846,0.200361174,0.112716328,male
0.14146076,0.072861395,0.124879288,0.090724269,0.201194409,0.11047014,male
0.141280115,0.074404048,0.13420617,0.090594432,0.202046652,0.11145222,male
0.153851203,0.072191575,0.144592094,0.102439024,0.219478553,0.117039529,male
0.145640705,0.077006409,0.137947214,0.087859238,0.211847507,0.12398827,male
0.144858407,0.076591817,0.135571776,0.090608273,0.207615572,0.117007299,male
0.121683363,0.086850112,0.118237046,0.030684932,0.215294818,0.184609887,male
0.135649932,0.086412331,0.126722455,0.049986053,0.228842399,0.178856346,male
0.100399417,0.07283457,0.081725176,0.044092277,0.144353059,0.100260782,male
